CSDUID,CSD,Period,IndicatorSummaryDescription,Gender,UnitOfMeasure,OriginalValue
4807044,Sedgewick,2011,Life Expectancy,Female,Years,83.30000
4807044,Sedgewick,2012,Life Expectancy,Female,Years,82.91000
4807044,Sedgewick,2013,Life Expectancy,Female,Years,82.53000
4807044,Sedgewick,2014,Life Expectancy,Female,Years,82.05000
4807044,Sedgewick,2015,Life Expectancy,Female,Years,81.85000
4807044,Sedgewick,2016,Life Expectancy,Female,Years,81.76000
4807044,Sedgewick,2017,Life Expectancy,Female,Years,81.61000
4807044,Sedgewick,2018,Life Expectancy,Female,Years,81.41000
4807044,Sedgewick,2019,Life Expectancy,Female,Years,80.85000
4807044,Sedgewick,2020,Life Expectancy,Female,Years,80.91000
4807044,Sedgewick,2021,Life Expectancy,Female,Years,81.57000
4807044,Sedgewick,2022,Life Expectancy,Female,Years,82.33000
4807044,Sedgewick,2011,Life Expectancy,Male,Years,77.95000
4807044,Sedgewick,2012,Life Expectancy,Male,Years,78.03000
4807044,Sedgewick,2013,Life Expectancy,Male,Years,77.70000
4807044,Sedgewick,2014,Life Expectancy,Male,Years,77.55000
4807044,Sedgewick,2015,Life Expectancy,Male,Years,77.86000
4807044,Sedgewick,2016,Life Expectancy,Male,Years,77.68000
4807044,Sedgewick,2017,Life Expectancy,Male,Years,77.90000
4807044,Sedgewick,2018,Life Expectancy,Male,Years,77.93000
4807044,Sedgewick,2019,Life Expectancy,Male,Years,77.84000
4807044,Sedgewick,2020,Life Expectancy,Male,Years,77.32000
4807044,Sedgewick,2021,Life Expectancy,Male,Years,77.06000
4807044,Sedgewick,2022,Life Expectancy,Male,Years,76.91000
4807044,Sedgewick,2011,Life Expectancy,Both,Years,80.52000
4807044,Sedgewick,2012,Life Expectancy,Both,Years,80.39000
4807044,Sedgewick,2013,Life Expectancy,Both,Years,80.00000
4807044,Sedgewick,2014,Life Expectancy,Both,Years,79.70000
4807044,Sedgewick,2015,Life Expectancy,Both,Years,79.73000
4807044,Sedgewick,2016,Life Expectancy,Both,Years,79.58000
4807044,Sedgewick,2017,Life Expectancy,Both,Years,79.60000
4807044,Sedgewick,2018,Life Expectancy,Both,Years,79.55000
4807044,Sedgewick,2019,Life Expectancy,Both,Years,79.24000
4807044,Sedgewick,2020,Life Expectancy,Both,Years,78.98000
4807044,Sedgewick,2021,Life Expectancy,Both,Years,79.14000
4807044,Sedgewick,2022,Life Expectancy,Both,Years,79.40000
4807046,Lougheed,2011,Life Expectancy,Female,Years,83.30000
4807046,Lougheed,2012,Life Expectancy,Female,Years,82.91000
4807046,Lougheed,2013,Life Expectancy,Female,Years,82.53000
4807046,Lougheed,2014,Life Expectancy,Female,Years,82.05000
4807046,Lougheed,2015,Life Expectancy,Female,Years,81.85000
4807046,Lougheed,2016,Life Expectancy,Female,Years,81.76000
4807046,Lougheed,2017,Life Expectancy,Female,Years,81.61000
4807046,Lougheed,2018,Life Expectancy,Female,Years,81.41000
4807046,Lougheed,2019,Life Expectancy,Female,Years,80.85000
4807046,Lougheed,2020,Life Expectancy,Female,Years,80.91000
4807046,Lougheed,2021,Life Expectancy,Female,Years,81.57000
4807046,Lougheed,2022,Life Expectancy,Female,Years,82.33000
4807046,Lougheed,2011,Life Expectancy,Male,Years,77.95000
4807046,Lougheed,2012,Life Expectancy,Male,Years,78.03000
4807046,Lougheed,2013,Life Expectancy,Male,Years,77.70000
4807046,Lougheed,2014,Life Expectancy,Male,Years,77.55000
4807046,Lougheed,2015,Life Expectancy,Male,Years,77.86000
4807046,Lougheed,2016,Life Expectancy,Male,Years,77.68000
4807046,Lougheed,2017,Life Expectancy,Male,Years,77.90000
4807046,Lougheed,2018,Life Expectancy,Male,Years,77.93000
4807046,Lougheed,2019,Life Expectancy,Male,Years,77.84000
4807046,Lougheed,2020,Life Expectancy,Male,Years,77.32000
4807046,Lougheed,2021,Life Expectancy,Male,Years,77.06000
4807046,Lougheed,2022,Life Expectancy,Male,Years,76.91000
4807046,Lougheed,2011,Life Expectancy,Both,Years,80.52000
4807046,Lougheed,2012,Life Expectancy,Both,Years,80.39000
4807046,Lougheed,2013,Life Expectancy,Both,Years,80.00000
4807046,Lougheed,2014,Life Expectancy,Both,Years,79.70000
4807046,Lougheed,2015,Life Expectancy,Both,Years,79.73000
4807046,Lougheed,2016,Life Expectancy,Both,Years,79.58000
