LHA,LifeExpectancy
Fernie,82.3
Cranbrook,79.9
Kimberley,82.3
Windermere,82.2
Creston,82.4
Golden,82
Kootenay Lake,83.3
Nelson,81
Castlegar,80.9
Arrow Lakes,80.1
Trail,80.1
Grand Forks,77.7
Kettle Valley,78.7
Southern Okanagan,80.9
Penticton,81
Keremeos,77.7
Princeton,78.5
Armstrong/Spallumcheen,82.5
Vernon,80.7
Central Okanagan,82.4
Summerland,82.7
Enderby,80.2
Revelstoke,81
Salmon Arm,81.4
Kamloops,79.7
100 Mile House,79.2
North Thompson,77.8
Cariboo/Chilcotin,76.7
Lillooet,N/A
South Cariboo,N/A
Merritt,76.6
Hope,78.4
Chilliwack,81
Abbotsford,81.9
Mission,80.3
Agassiz/Harrison,77.8
New Westminster,83.4
Burnaby,87
Maple Ridge/Pitt Meadows,82.2
Tri-Cities,85.9
Langley,83.1
Delta,84.3
Surrey,84.4
South Surrey/White Rock,84.5
Richmond,89.4
Vancouver - City Centre,84.8
Vancouver - Centre North,73.5
Vancouver - Northeast,87.2
Vancouver - Westside,88.1
Vancouver - Midtown,86
Vancouver - South,87.6
North Vancouver,86.3
West Vancouver/Bowen Island,87.5
Sunshine Coast,82.9
Powell River,79.3
Howe Sound,84.2
Bella Coola Valley,N/A
Central Coast,N/A
Greater Victoria,82.6
Western Communities,83.6
Saanich Peninsula,84.8
Southern Gulf Islands,83.9
Cowichan Valley South,80.4
Cowichan Valley West,81.1
Cowichan Valley North,81.1
Greater Nanaimo,80.4
Oceanside,82.6
Alberni/Clayoquot,76.3
Comox Valley,82.2
Greater Campbell River,78.4
Vancouver Island West,80.2
Vancouver Island North,N/A
Haida Gwaii,N/A
Snow Country,76
Prince Rupert,N/A
Upper Skeena,N/A
Smithers,81.7
Kitimat,77.2
Stikine,N/A
Terrace,77.1
Nisga'a,N/A
Telegraph Creek,N/A
Quesnel,78.5
Burns Lake,N/A
Nechako,78.3
Prince George,77.7
Peace River South,78.4
Peace River North,80.3
Fort Nelson,78.7
